SeqNo,Date,UTC Time,datetime,[°C*10] LCC_CABINET_TEMP,[°C*10] LCC_CABINET_HUM,[%] LCC_UPS_BATT_LVL,[bar] HPU_SYSTEM_PRESSURE,[°C*10] HPU_OIL_TEMPERATURE,[rpm] HPU_MOTOR_SPEED,[W] HPU_MOTOR_POWER,[V] BATTERIES_VOLTAGE,[A*10] BATTERIES_CURRENT,[kWh] BATTERIES_CAPACITY,[%] BATTERIES_SOC,[A*10] CHARGER_CURRENT,FRONT_LINKS_UL_POS,FRONT_LINKS_UL_SPEED,FRONT_LINKS_UL_VALVE,FRONT_LINKS_UR_POS,FRONT_LINKS_UR_SPEED,FRONT_LINKS_UR_VALVE,FRONT_LINKS_LL_POS,FRONT_LINKS_LL_SPEED,FRONT_LINKS_LL_VALVE,FRONT_LINKS_LR_POS,FRONT_LINKS_LR_SPEED,FRONT_LINKS_LR_VALVE,[°*10] TUGGER ROTATION,[°/s*100] TUGGER ROTATION SPEED,[bar] TUGGER PRESSURE A,[bar] TUGGER PRESSURE B,[bar] TUGGER PRESSURE BRAKE,[%] TUGGER VALVE,[mm] COG LEFT POSITION,[mm*100] COG LEFT SPEED,[bar] COG LEFT BOTTOMSIDE PRESSURE,[bar] COG LEFT RODSIDE PRESSURE,[mm] COG RIGHT POSITION,[mm*100] COG RIGHT SPEED,[bar] COG RIGHT BOTTOMSIDE PRESSURE,[bar] COG RIGHT RODSIDE PRESSURE,[%] COG VALVE FEEDBACK
126015,2025-09-28,19:39:55.633,2025-09-28 19:39:55.633,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.3399884,522.635,-0.09735616,1.034433,577.205,0.0,-0.1374421,577.135,0.0,0.1157407,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126016,2025-09-28,19:39:56.147,2025-09-28 19:39:56.147,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.4484954,522.635,0.0,0.9548611,577.205,0.0,-0.02893518,577.13,0.0,0.2531829,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126017,2025-09-28,19:39:56.660,2025-09-28 19:39:56.660,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.3761574,522.635,0.0,1.041667,577.21,0.1000125,-0.1446759,577.135,-0.1052757,0.1591435,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126018,2025-09-28,19:39:57.174,2025-09-28 19:39:57.174,224,521,100,0,239,0,0,734,123,105,99,147,523.055,0.0,0.4774306,522.635,0.1037854,1.128472,577.205,0.0,0.01446759,577.135,0.09955928,0.2097801,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126019,2025-09-28,19:39:57.688,2025-09-28 19:39:57.688,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,1.222512,522.64,0.0,1.034433,577.205,0.0,-0.1446759,577.13,-0.1073298,0.1374421,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126020,2025-09-28,19:39:58.198,2025-09-28 19:39:58.198,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.4340278,522.635,0.0,0.9548611,577.205,0.0,-0.01446759,577.13,0.09323135,0.2097801,0,0,0,0,0,0,31,0,25,37,31,10,24,36,1
126021,2025-09-28,19:39:58.711,2025-09-28 19:39:58.711,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.390625,522.635,0.0,1.041667,577.205,0.0,-0.1446759,577.13,0.0,0.1012731,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126022,2025-09-28,19:39:59.227,2025-09-28 19:39:59.227,224,521,100,0,239,0,0,734,122,105,99,147,523.055,0.0,0.4846644,522.64,0.1018634,0.9548611,577.205,0.0,0.0,577.13,0.0,0.2314815,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126023,2025-09-28,19:39:59.739,2025-09-28 19:39:59.739,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.6944444,522.63,0.0,1.20081,577.21,0.0,-0.1519097,577.13,-0.1037859,0.1808449,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126024,2025-09-28,19:40:00.254,2025-09-28 19:40:00.254,224,521,100,0,239,0,0,735,122,105,99,147,523.055,0.0,0.4050926,522.64,-0.1000114,0.9548611,577.21,-0.09955992,-0.02170139,577.13,0.0,0.2097801,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
