datetime,SwitchName, SwitchValue, FCName, NetworkNo, EventID
2025-09-22 12:02:59.278,BATTERYSYSTEM.S_HeatingBattery                    ,1,UC_BatterySystem                   ,1,103
2025-09-22 12:03:00.041,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.046,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.046,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.047,BATTERYSYSTEM.S_HeatingBattery                    ,0,UC_BatterySystem                   ,1,1
2025-09-22 12:03:00.050,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.050,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.054,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.054,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.058,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.058,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.061,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.061,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.064,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.065,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.068,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.068,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.071,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.072,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.075,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.075,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.078,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.079,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.082,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.082,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.085,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.085,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.089,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.089,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.092,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.092,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.096,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.096,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.099,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.099,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.102,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.102,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.107,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.107,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.111,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.111,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.114,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.114,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.118,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.118,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.121,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.121,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.124,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.124,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.129,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.129,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.132,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.132,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.135,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.136,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.139,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.139,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.142,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.142,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.146,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.146,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.150,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.150,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.153,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.153,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.157,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.157,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.160,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.160,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.164,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.164,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.167,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.167,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.171,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.171,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.174,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.174,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.178,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.178,SYSTEM.MS_SYSTEM_MODE                             ,10,GUC_System                         ,1,1001
2025-09-22 12:03:00.181,SYSTEM.MS_SYSTEM_MODE                             ,0,GUC_System                         ,1,4
2025-09-22 12:03:00.185,BATTERYSYSTEM.S_HeatingBattery                    ,1,UC_BatterySystem                   ,1,103
2025-09-22 12:03:00.510,HPU.MS_DRIVE                                      ,0,UC_HPU                             ,1,1
2025-09-22 12:03:00.736,BATTERYSYSTEM.MS_Charger                          ,0,UC_BatterySystem                   ,1,1
2025-09-22 12:03:01.135,BATTERYSYSTEM.MS_Batteries                        ,1,UC_BatterySystem                   ,1,101
2025-09-24 10:52:57.993,SYSTEM.MS_SYSTEM_MODE                             ,30,GUC_System                         ,1,3001
2025-09-24 10:52:57.995,BATTERYSYSTEM.MS_Batteries                        ,2,UC_BatterySystem                   ,1,203
